"TOT Industry, total","All Denmark","Men","Enrolled in education","H10 Primary education","15-19 years",140633,146660,149409,150766,149242,147672,145439,144336,144044,144411,142423,145685,145535,144946
"TOT Industry, total","All Denmark","Men","Enrolled in education","H10 Primary education","20-24 years",21355,24397,25725,26379,26752,25828,24709,23457,22675,22082,21695,23137,22183,19279
"TOT Industry, total","All Denmark","Men","Enrolled in education","H10 Primary education","25-29 years",4150,4708,5317,6010,6464,6992,6444,5930,5606,5606,5554,5633,5685,4931
"TOT Industry, total","All Denmark","Men","Enrolled in education","H10 Primary education","30-34 years",1830,1853,1919,2072,2300,2380,2372,2372,2291,2181,2169,2133,2232,2126
"TOT Industry, total","All Denmark","Men","Enrolled in education","H10 Primary education","35-39 years",976,957,1049,1099,1110,1075,1001,1063,995,1016,1030,1048,1078,1050
"TOT Industry, total","All Denmark","Men","Enrolled in education","H10 Primary education","40-44 years",650,620,616,619,703,594,624,576,507,496,498,547,638,594
"TOT Industry, total","All Denmark","Men","Enrolled in education","H10 Primary education","45-49 years",363,411,473,431,503,397,375,375,318,302,306,351,353,323
"TOT Industry, total","All Denmark","Men","Enrolled in education","H10 Primary education","50-54 years",192,192,257,246,294,222,251,217,185,187,189,205,249,187
"TOT Industry, total","All Denmark","Men","Enrolled in education","H10 Primary education","55-59 years",59,71,91,102,165,96,104,124,86,81,91,134,160,123
"TOT Industry, total","All Denmark","Men","Enrolled in education","H10 Primary education","60-64 years",13,23,21,29,23,18,12,24,20,17,27,34,51,32
"TOT Industry, total","All Denmark","Men","Enrolled in education","H10 Primary education","65-69 years",3,4,3,3,4,2,1,1,1,2,1,0,1,0
"TOT Industry, total","All Denmark","Men","Enrolled in education","H20 Upper secondary education","15-19 years",2652,3139,3615,3915,4121,4201,3712,3590,3157,2978,2541,2989,2875,2404
"TOT Industry, total","All Denmark","Men","Enrolled in education","H20 Upper secondary education","20-24 years",34305,37300,41156,45222,48578,50855,51816,51224,51727,51854,51490,52189,51308,48604
"TOT Industry, total","All Denmark","Men","Enrolled in education","H20 Upper secondary education","25-29 years",10847,10394,10544,11300,12072,13123,13578,13609,13860,14267,14679,15937,16436,16608
"TOT Industry, total","All Denmark","Men","Enrolled in education","H20 Upper secondary education","30-34 years",2769,2558,2500,2512,2547,2568,2627,2685,2717,2824,2850,2909,3115,3073
"TOT Industry, total","All Denmark","Men","Enrolled in education","H20 Upper secondary education","35-39 years",979,963,947,926,956,880,829,823,791,803,800,846,877,885
"TOT Industry, total","All Denmark","Men","Enrolled in education","H20 Upper secondary education","40-44 years",477,431,405,408,425,411,382,374,380,348,353,368,394,402
"TOT Industry, total","All Denmark","Men","Enrolled in education","H20 Upper secondary education","45-49 years",259,211,215,217,243,224,219,187,192,166,160,188,233,215
"TOT Industry, total","All Denmark","Men","Enrolled in education","H20 Upper secondary education","50-54 years",114,94,99,110,105,92,98,100,105,87,102,96,97,98
"TOT Industry, total","All Denmark","Men","Enrolled in education","H20 Upper secondary education","55-59 years",64,53,50,49,43,44,46,47,43,52,43,47,65,59
"TOT Industry, total","All Denmark","Men","Enrolled in education","H20 Upper secondary education","60-64 years",39,19,20,18,17,20,12,13,10,14,16,15,16,21
"TOT Industry, total","All Denmark","Men","Enrolled in education","H20 Upper secondary education","65-69 years",14,10,12,10,6,5,3,4,5,3,3,3,2,5
"TOT Industry, total","All Denmark","Men","Enrolled in education","H30 Vocational Education and Training (VET)","15-19 years",96,160,177,168,155,143,110,105,92,124,88,101,96,662
"TOT Industry, total","All Denmark","Men","Enrolled in education","H30 Vocational Education and Training (VET)","20-24 years",2939,3671,4301,4742,5039,5102,4812,4367,3919,3657,3503,3175,2976,3782
"TOT Industry, total","All Denmark","Men","Enrolled in education","H30 Vocational Education and Training (VET)","25-29 years",3810,4228,4790,5296,5729,5992,6133,6136,6075,5993,5818,5516,5051,4861
"TOT Industry, total","All Denmark","Men","Enrolled in education","H30 Vocational Education and Training (VET)","30-34 years",2505,2490,2687,2708,2759,2826,2883,2888,2894,2856,2843,2909,2985,2921
"TOT Industry, total","All Denmark","Men","Enrolled in education","H30 Vocational Education and Training (VET)","35-39 years",1380,1481,1520,1619,1724,1680,1647,1617,1536,1548,1511,1503,1588,1551
"TOT Industry, total","All Denmark","Men","Enrolled in education","H30 Vocational Education and Training (VET)","40-44 years",951,912,941,946,1017,960,1015,930,920,902,922,929,978,907
"TOT Industry, total","All Denmark","Men","Enrolled in education","H30 Vocational Education and Training (VET)","45-49 years",569,607,654,684,740,628,615,568,568,563,560,598,643,608
"TOT Industry, total","All Denmark","Men","Enrolled in education","H30 Vocational Education and Training (VET)","50-54 years",247,279,355,382,440,378,379,366,336,334,361,363,389,353
"TOT Industry, total","All Denmark","Men","Enrolled in education","H30 Vocational Education and Training (VET)","55-59 years",106,138,157,151,175,148,158,151,153,152,169,192,236,228
"TOT Industry, total","All Denmark","Men","Enrolled in education","H30 Vocational Education and Training (VET)","60-64 years",29,18,28,54,26,31,32,34,28,35,27,53,62,55
"TOT Industry, total","All Denmark","Men","Enrolled in education","H30 Vocational Education and Training (VET)","65-69 years",6,5,7,6,7,7,5,4,3,1,2,2,5,10
"TOT Industry, total","All Denmark","Men","Enrolled in education","H40 Short cycle higher education","15-19 years",4,1,5,3,10,11,73,53,50,16,18,56,45,21
"TOT Industry, total","All Denmark","Men","Enrolled in education","H40 Short cycle higher education","20-24 years",676,1008,1273,1592,1845,1995,2101,2457,2399,2201,2085,1940,1880,1588
"TOT Industry, total","All Denmark","Men","Enrolled in education","H40 Short cycle higher education","25-29 years",888,1218,1439,1583,1677,1757,1798,1935,2082,2135,2209,2325,2363,2138
"TOT Industry, total","All Denmark","Men","Enrolled in education","H40 Short cycle higher education","30-34 years",493,511,532,562,572,574,515,580,620,618,653,653,670,640
"TOT Industry, total","All Denmark","Men","Enrolled in education","H40 Short cycle higher education","35-39 years",239,298,294,296,314,278,285,289,295,287,260,277,322,283
"TOT Industry, total","All Denmark","Men","Enrolled in education","H40 Short cycle higher education","40-44 years",157,152,158,180,176,186,195,191,170,162,189,170,188,162
"TOT Industry, total","All Denmark","Men","Enrolled in education","H40 Short cycle higher education","45-49 years",81,95,102,114,147,124,97,129,126,127,114,135,120,100
"TOT Industry, total","All Denmark","Men","Enrolled in education","H40 Short cycle higher education","50-54 years",47,41,53,48,70,72,64,65,68,75,86,70,68,74
"TOT Industry, total","All Denmark","Men","Enrolled in education","H40 Short cycle higher education","55-59 years",12,20,25,29,37,26,24,25,24,18,26,40,53,47
"TOT Industry, total","All Denmark","Men","Enrolled in education","H40 Short cycle higher education","60-64 years",6,5,2,1,7,7,7,8,8,6,10,7,7,9
"TOT Industry, total","All Denmark","Men","Enrolled in education","H40 Short cycle higher education","65-69 years",0,2,0,1,2,2,0,0,0,0,1,2,1,3
"TOT Industry, total","All Denmark","Men","Enrolled in education","H50 Vocational bachelors educations","15-19 years",7,4,1,6,10,24,75,25,26,13,4,8,26,29
"TOT Industry, total","All Denmark","Men","Enrolled in education","H50 Vocational bachelors educations","20-24 years",295,364,435,435,486,561,804,944,984,963,857,1170,1293,1064
"TOT Industry, total","All Denmark","Men","Enrolled in education","H50 Vocational bachelors educations","25-29 years",1378,1561,1704,1896,2136,2317,2449,2572,2548,2661,2595,3057,3210,3061
"TOT Industry, total","All Denmark","Men","Enrolled in education","H50 Vocational bachelors educations","30-34 years",946,909,957,981,1031,998,1004,1042,1083,1085,1052,1128,1187,1253
"TOT Industry, total","All Denmark","Men","Enrolled in education","H50 Vocational bachelors educations","35-39 years",490,478,489,540,531,533,455,414,437,471,492,547,607,559
"TOT Industry, total","All Denmark","Men","Enrolled in education","H50 Vocational bachelors educations","40-44 years",263,251,278,291,272,269,294,274,233,229,259,286,319,325
"TOT Industry, total","All Denmark","Men","Enrolled in education","H50 Vocational bachelors educations","45-49 years",191,176,200,186,185,177,147,159,147,139,161,183,184,164
"TOT Industry, total","All Denmark","Men","Enrolled in education","H50 Vocational bachelors educations","50-54 years",139,119,122,126,108,101,105,91,99,105,92,94,98,110
"TOT Industry, total","All Denmark","Men","Enrolled in education","H50 Vocational bachelors educations","55-59 years",82,75,82,73,57,56,54,36,34,44,55,68,77,68
"TOT Industry, total","All Denmark","Men","Enrolled in education","H50 Vocational bachelors educations","60-64 years",52,43,34,41,24,23,19,14,11,10,16,19,25,25
"TOT Industry, total","All Denmark","Men","Enrolled in education","H50 Vocational bachelors educations","65-69 years",28,28,25,27,19,11,8,7,7,7,4,2,7,9
"TOT Industry, total","All Denmark","Men","Enrolled in education","H60 Bachelors programs","15-19 years",0,1,1,1,2,1,1,2,0,0,0,1,0,0
"TOT Industry, total","All Denmark","Men","Enrolled in education","H60 Bachelors programs","20-24 years",4744,5465,5850,6425,7046,7959,8167,8946,8927,9067,8462,8651,8514,7969
"TOT Industry, total","All Denmark","Men","Enrolled in education","H60 Bachelors programs","25-29 years",9190,9701,10418,10969,11789,12613,13159,11931,11262,11051,10968,11289,11242,11503
"TOT Industry, total","All Denmark","Men","Enrolled in education","H60 Bachelors programs","30-34 years",2612,2343,2165,2046,2044,2111,2068,1871,1689,1645,1661,1633,1587,1545
"TOT Industry, total","All Denmark","Men","Enrolled in education","H60 Bachelors programs","35-39 years",868,766,743,694,673,684,612,517,452,426,416,433,439,415
"TOT Industry, total","All Denmark","Men","Enrolled in education","H60 Bachelors programs","40-44 years",327,296,266,257,274,286,293,281,243,210,199,173,147,156
"TOT Industry, total","All Denmark","Men","Enrolled in education","H60 Bachelors programs","45-49 years",141,140,144,147,130,121,134,118,115,99,81,75,77,73
"TOT Industry, total","All Denmark","Men","Enrolled in education","H60 Bachelors programs","50-54 years",63,53,58,80,72,69,63,65,61,60,53,42,46,47
"TOT Industry, total","All Denmark","Men","Enrolled in education","H60 Bachelors programs","55-59 years",30,30,30,30,35,39,31,28,33,19,30,25,23,23
"TOT Industry, total","All Denmark","Men","Enrolled in education","H60 Bachelors programs","60-64 years",25,19,17,14,17,19,18,8,10,11,7,10,7,6
"TOT Industry, total","All Denmark","Men","Enrolled in education","H60 Bachelors programs","65-69 years",26,21,18,17,14,9,8,4,4,3,5,5,5,8
"TOT Industry, total","All Denmark","Men","Enrolled in education","H70 Masters programs","15-19 years",1,1,1,2,0,1,5,2,10,10,10,1,9,7
"TOT Industry, total","All Denmark","Men","Enrolled in education","H70 Masters programs","20-24 years",67,86,82,83,96,114,182,228,373,306,117,120,219,209
"TOT Industry, total","All Denmark","Men","Enrolled in education","H70 Masters programs","25-29 years",1499,1718,1866,1971,2097,2107,2200,2177,2244,2455,1977,1983,2110,2178
"TOT Industry, total","All Denmark","Men","Enrolled in education","H70 Masters programs","30-34 years",1343,1389,1470,1558,1574,1559,1530,1576,1503,1464,1607,1746,1849,1972
"TOT Industry, total","All Denmark","Men","Enrolled in education","H70 Masters programs","35-39 years",648,698,717,724,735,688,656,632,625,598,639,647,697,706
"TOT Industry, total","All Denmark","Men","Enrolled in education","H70 Masters programs","40-44 years",239,236,274,275,302,300,326,294,290,292,333,314,336,319
"TOT Industry, total","All Denmark","Men","Enrolled in education","H70 Masters programs","45-49 years",147,144,125,156,155,146,148,141,123,114,140,168,153,160
"TOT Industry, total","All Denmark","Men","Enrolled in education","H70 Masters programs","50-54 years",102,97,112,126,127,99,97,88,76,71,70,86,90,100
"TOT Industry, total","All Denmark","Men","Enrolled in education","H70 Masters programs","55-59 years",68,63,74,70,68,66,57,59,51,40,51,44,45,58
"TOT Industry, total","All Denmark","Men","Enrolled in education","H70 Masters programs","60-64 years",69,59,50,45,34,31,34,31,36,23,25,32,29,31
"TOT Industry, total","All Denmark","Men","Enrolled in education","H70 Masters programs","65-69 years",42,40,44,36,37,25,21,17,14,18,14,9,11,11
"TOT Industry, total","All Denmark","Men","Enrolled in education","H80 PhD programs","15-19 years",0,0,0,0,0,0,0,2,2,2,1,0,1,3
"TOT Industry, total","All Denmark","Men","Enrolled in education","H80 PhD programs","20-24 years",1,1,1,3,2,5,4,6,9,9,4,6,3,3
